date,open,high,low,close,movement
2014-12-31,0.81713,0.81713,0.81699,0.81713,up
2015-01-01,0.8182,0.81846,0.81037,0.8178,down
2015-01-04,0.80736,0.81077,0.80386,0.80678,up
2015-01-05,0.80952,0.81593,0.80886,0.80998,down
2015-01-06,0.80788,0.80828,0.80373,0.80802,down
2015-01-07,0.80788,0.81255,0.80788,0.80756,up
2015-01-08,0.81142,0.81967,0.8111,0.81142,up
2015-01-11,0.82223,0.82563,0.81327,0.82223,down
2015-01-12,0.81539,0.81981,0.81301,0.81506,up
2015-01-13,0.81713,0.819,0.80704,0.81739,down
2015-01-14,0.81354,0.82939,0.81347,0.81446,up
2015-01-15,0.82237,0.8257,0.81706,0.82237,up
2015-01-18,0.82271,0.82433,0.81974,0.82271,down
2015-01-19,0.81954,0.82183,0.81606,0.81954,down
2015-01-20,0.81653,0.82352,0.81374,0.81653,down
2015-01-21,0.81005,0.81354,0.8058,0.81011,down
2015-01-22,0.80173,0.8047,0.78839,0.80199,down
2015-01-25,0.78815,0.79283,0.78753,0.78759,up
2015-01-26,0.79258,0.79751,0.7907,0.79221,down
2015-01-27,0.79177,0.80237,0.7902,0.79214,down
2015-01-28,0.78908,0.79064,0.77688,0.78927,down
2015-01-29,0.77821,0.77985,0.7734,0.77821,down
2015-02-01,0.77803,0.78296,0.7767,0.77821,up
2015-02-02,0.77991,0.78284,0.76278,0.78015,down
2015-02-03,0.77573,0.78468,0.77447,0.77628,down
2015-02-04,0.77592,0.78272,0.77369,0.7761,up
2015-02-05,0.78009,0.7874,0.77857,0.77997,down
2015-02-08,0.7764,0.7837,0.77495,0.7761,up
2015-02-09,0.77967,0.78419,0.77507,0.77991,down
2015-02-10,0.77833,0.77948,0.76953,0.77839,down
2015-02-11,0.77226,0.77286,0.76482,0.77226,up
2015-02-12,0.77568,0.7793,0.77292,0.77568,up
2015-02-15,0.77688,0.77961,0.77676,0.77658,down
2015-02-16,0.77585,0.78302,0.77585,0.77568,up
2015-02-17,0.78125,0.78315,0.77748,0.78119,down
2015-02-18,0.78088,0.78444,0.77585,0.78082,down
2015-02-19,0.77985,0.78499,0.77918,0.77955,up
2015-02-22,0.78456,0.78468,0.77827,0.78462,down
2015-02-23,0.77991,0.7818,0.77399,0.77997,up
2015-02-24,0.78321,0.7902,0.78321,0.78333,up
2015-02-25,0.78852,0.79126,0.78168,0.78839,down
2015-02-26,0.78028,0.78351,0.77797,0.78058,down
2015-03-01,0.77875,0.77997,0.77585,0.77857,down
2015-03-02,0.77573,0.78446,0.77537,0.77568,up
2015-03-03,0.78198,0.78598,0.7807,0.78204,up
2015-03-04,0.78247,0.78413,0.777,0.78235,down
2015-03-05,0.7787,0.78444,0.77167,0.77851,down
2015-03-08,0.77208,0.77399,0.76876,0.77226,down
2015-03-09,0.7684,0.76852,0.76138,0.76852,down
2015-03-10,0.76406,0.76453,0.75631,0.76418,down
2015-03-11,0.76034,0.7728,0.75752,0.76057,up
2015-03-12,0.77059,0.77077,0.76109,0.77065,down
