date,open,high,low,close,movement
2014-12-31,1.55809,1.55809,1.55809,1.55809,down
2015-01-01,1.55802,1.55846,1.53875,1.55797,down
2015-01-04,1.52861,1.532,1.52061,1.52849,down
2015-01-05,1.52583,1.52737,1.5158,1.52583,down
2015-01-06,1.51364,1.51561,1.5068,1.5138,down
2015-01-07,1.51071,1.5119,1.50362,1.51076,down
2015-01-08,1.5087,1.51699,1.5085,1.5088,up
2015-01-11,1.5192,1.5192,1.51028,1.51895,down
2015-01-12,1.5174,1.5192,1.508,1.51704,down
2015-01-13,1.5169,1.5266,1.51469,1.51704,up
2015-01-14,1.52337,1.5266,1.5172,1.52344,down
2015-01-15,1.51839,1.52341,1.50927,1.51812,down
2015-01-18,1.51439,1.518,1.51199,1.51421,down
2015-01-19,1.50921,1.51992,1.50607,1.509,up
2015-01-20,1.5146,1.51796,1.50864,1.51474,down
2015-01-21,1.51469,1.5214,1.50711,1.51449,down
2015-01-22,1.5006,1.50261,1.49546,1.50132,down
2015-01-25,1.50019,1.50709,1.49934,1.49959,up
2015-01-26,1.5087,1.52221,1.5065,1.50855,up
2015-01-27,1.51886,1.52193,1.51566,1.51881,down
2015-01-28,1.51396,1.51614,1.50839,1.51423,down
2015-01-29,1.50798,1.5095,1.4995,1.50791,up
2015-02-01,1.50841,1.50891,1.50083,1.5087,down
2015-02-02,1.50276,1.51174,1.4992,1.50281,up
2015-02-03,1.51439,1.525,1.51437,1.51421,up
2015-02-04,1.51791,1.53116,1.51715,1.518,up
2015-02-05,1.53214,1.53518,1.52411,1.53259,down
2015-02-08,1.52399,1.52662,1.52057,1.5239,down
2015-02-09,1.52158,1.52537,1.52015,1.52161,up
2015-02-10,1.52604,1.53001,1.52339,1.52621,down
2015-02-11,1.52397,1.53879,1.52184,1.52427,up
2015-02-12,1.53912,1.54221,1.5373,1.5392,up
2015-02-15,1.54031,1.54431,1.537,1.54005,down
2015-02-16,1.5357,1.54012,1.53186,1.53563,down
2015-02-17,1.5352,1.54509,1.5344,1.53534,up
2015-02-18,1.54352,1.54669,1.54076,1.5439,down
2015-02-19,1.54231,1.5435,1.53471,1.542,down
2015-02-22,1.53872,1.54514,1.53339,1.53891,up
2015-02-23,1.54533,1.5466,1.54074,1.54524,up
2015-02-24,1.5456,1.55381,1.54557,1.54591,up
2015-02-25,1.55284,1.5554,1.53991,1.55289,down
2015-02-26,1.54176,1.54562,1.5387,1.54181,down
2015-03-01,1.54062,1.54221,1.53544,1.54062,down
2015-03-02,1.5361,1.53981,1.53461,1.53591,up
2015-03-03,1.53681,1.53728,1.52632,1.53666,down
2015-03-04,1.52646,1.52681,1.52246,1.52651,down
2015-03-05,1.52483,1.52532,1.506,1.52476,down
2015-03-08,1.5058,1.51263,1.50521,1.50578,up
2015-03-09,1.51087,1.51089,1.50376,1.51048,down
2015-03-10,1.50761,1.50966,1.4935,1.50821,down
2015-03-11,1.49361,1.50286,1.48962,1.4933,down
2015-03-12,1.48927,1.48936,1.47145,1.4894,down
2015-03-15,1.47551,1.4819,1.47501,1.47558,up
2015-03-16,1.48247,1.48449,1.47297,1.48258,down
2015-03-17,1.4751,1.47704,1.4637,1.47521,up
2015-03-18,1.496,1.50101,1.47319,1.4962,down
2015-03-19,1.47643,1.49232,1.47254,1.47617,up
2015-03-22,1.49452,1.49591,1.48423,1.49432,up
2015-03-23,1.49562,1.49835,1.48566,1.49519,down
2015-03-24,1.48359,1.49544,1.48359,1.48339,up
2015-03-25,1.48774,1.49925,1.48148,1.48774,down
2015-03-26,1.48568,1.49232,1.47995,1.48584,up
2015-03-29,1.48852,1.48852,1.47623,1.48858,down
2015-03-30,1.48102,1.48677,1.4758,1.48091,up
2015-03-31,1.48339,1.4873,1.47471,1.48295,up
2015-04-01,1.4835,1.48699,1.47818,1.48368,down
2015-04-02,1.48297,1.49459,1.48126,1.48306,up
2015-04-05,1.49227,1.49817,1.49029,1.49307,down
2015-04-06,1.48896,1.49191,1.48324,1.48907,down
2015-04-07,1.48221,1.49701,1.48221,1.48238,up
2015-04-08,1.48772,1.4886,1.47297,1.48785,down
2015-04-09,1.47174,1.4726,1.459,1.4715,down
2015-04-12,1.46409,1.46735,1.45737,1.46406,up
2015-04-13,1.46714,1.48039,1.46071,1.46679,up
2015-04-14,1.47728,1.48082,1.47059,1.47719,up
2015-04-15,1.48291,1.49388,1.48148,1.48284,up
2015-04-16,1.49309,1.5053,1.49187,1.49218,up
2015-04-19,1.49651,1.49837,1.48931,1.49683,down
2015-04-20,1.49109,1.49544,1.48588,1.49098,up
2015-04-21,1.49309,1.50807,1.49171,1.49356,up
2015-04-22,1.5034,1.50591,1.49656,1.50376,up
2015-04-23,1.5051,1.51837,1.50299,1.50521,up
2015-04-26,1.51752,1.52393,1.51103,1.51766,up
2015-04-27,1.52251,1.53374,1.51837,1.52237,up
2015-04-28,1.53339,1.54871,1.5329,1.53348,up
2015-04-29,1.54257,1.54943,1.53257,1.54269,down
2015-04-30,1.53558,1.53965,1.51261,1.53546,down
2015-05-03,1.51561,1.51768,1.50918,1.51467,down
2015-05-04,1.51222,1.52091,1.50943,1.51229,up
2015-05-05,1.51704,1.52905,1.51561,1.51743,up
2015-05-06,1.52395,1.5253,1.51683,1.5242,up
2015-05-07,1.53969,1.55219,1.53579,1.54071,up
2015-05-10,1.5439,1.55958,1.53988,1.5434,up
