date,open,high,low,close,movement
2014-12-31,0.99411,0.99411,0.99411,0.99411,up
2015-01-01,0.9945,1.00075,0.99439,0.9941,up
2015-01-04,1.0052,1.0106,1.0033,1.0058,up
2015-01-05,1.0063,1.01079,1.00407,1.0062,up
2015-01-06,1.01157,1.0173,1.00958,1.0113,up
2015-01-07,1.01482,1.0213,1.01367,1.01474,up
2015-01-08,1.0185,1.02031,1.01445,1.01829,down
2015-01-11,1.01193,1.0189,1.0116,1.01182,up
2015-01-12,1.0149,1.02162,1.0127,1.0149,up
2015-01-13,1.0197,1.02386,1.01416,1.0195,down
2015-01-14,1.019,1.02195,0.73271,1.01893,down
2015-01-15,0.8542,0.87985,0.85022,0.8544,up
2015-01-18,0.8584,0.8766,0.85749,0.8582,up
2015-01-19,0.8795,0.88251,0.8686,0.87967,down
2015-01-20,0.8746,0.8769,0.8508,0.87432,down
2015-01-21,0.8604,0.87058,0.85254,0.8605,up
2015-01-22,0.8718,0.87903,0.86811,0.8717,up
2015-01-25,0.8811,0.8979,0.87638,0.8811,up
2015-01-26,0.9013,0.91596,0.89374,0.9013,down
2015-01-27,0.8992,0.90896,0.89855,0.8992,up
2015-01-28,0.907,0.92392,0.9056,0.907,up
2015-01-29,0.9222,0.92874,0.9191,0.9225,down
2015-02-01,0.9214,0.93402,0.9204,0.9213,up
2015-02-02,0.9273,0.92955,0.9214,0.9271,down
2015-02-03,0.9249,0.9272,0.92237,0.92475,up
2015-02-04,0.92624,0.93068,0.92176,0.926,down
2015-02-05,0.922,0.9286,0.9174,0.922,up
2015-02-08,0.9259,0.92831,0.9223,0.9263,down
2015-02-09,0.925,0.92772,0.9214,0.9246,up
2015-02-10,0.92649,0.9283,0.9228,0.9265,up
2015-02-11,0.92871,0.93333,0.92559,0.9287,up
2015-02-12,0.9303,0.93142,0.92687,0.92994,up
2015-02-15,0.9318,0.93244,0.9282,0.9317,up
2015-02-16,0.93336,0.93648,0.9293,0.93247,up
2015-02-17,0.93621,0.94357,0.93166,0.93614,up
2015-02-18,0.94194,0.9489,0.93841,0.9419,up
2015-02-19,0.94934,0.95335,0.9431,0.94943,down
2015-02-22,0.94042,0.9512,0.9401,0.9406,up
2015-02-23,0.95118,0.95202,0.94711,0.9506,down
2015-02-24,0.95012,0.95057,0.94647,0.9501,down
2015-02-25,0.9488,0.9542,0.9449,0.94851,up
2015-02-26,0.95275,0.95384,0.945,0.9526,up
2015-03-01,0.95429,0.9579,0.95387,0.9543,up
2015-03-02,0.9585,0.96142,0.9557,0.9585,up
2015-03-03,0.9606,0.96791,0.9593,0.9608,up
2015-03-04,0.9634,0.97133,0.9631,0.9634,up
2015-03-05,0.97376,0.98401,0.97199,0.97363,up
2015-03-08,0.9845,0.98724,0.982,0.9845,up
2015-03-09,0.987,0.9996,0.9866,0.98719,up
2015-03-10,0.99815,1.00877,0.9969,0.9981,up
2015-03-11,1.009,1.0127,0.99826,1.00905,down
2015-03-12,1.0027,1.01087,1.0027,1.0027,up
2015-03-15,1.00628,1.0072,1.0023,1.00665,up
2015-03-16,1.00762,1.00907,1.001,1.0077,down
2015-03-17,1.00563,1.0068,0.99497,1.00563,down
2015-03-18,0.9814,0.9979,0.9774,0.9811,up
2015-03-19,0.98958,0.9902,0.9753,0.98974,down
2015-03-22,0.9775,0.98113,0.9656,0.9775,down
2015-03-23,0.9663,0.9693,0.95358,0.966,down
2015-03-24,0.9592,0.96074,0.95554,0.95957,up
2015-03-25,0.95998,0.96129,0.9491,0.96038,up
2015-03-26,0.9632,0.96899,0.95868,0.96318,down
2015-03-29,0.96139,0.96881,0.96069,0.96122,up
2015-03-30,0.96747,0.97529,0.96594,0.96736,up
2015-03-31,0.9718,0.97398,0.9654,0.9722,down
2015-04-01,0.96613,0.96711,0.95667,0.9662,down
2015-04-02,0.9601,0.96075,0.94823,0.95997,down
2015-04-05,0.95234,0.9534,0.9499,0.95214,up
2015-04-06,0.95792,0.96461,0.95517,0.95795,up
2015-04-07,0.9657,0.9669,0.9598,0.9656,up
2015-04-08,0.9662,0.97645,0.9661,0.96615,up
2015-04-09,0.97698,0.98353,0.975,0.97697,up
2015-04-12,0.97921,0.9862,0.97688,0.97908,down
2015-04-13,0.97735,0.97941,0.96734,0.9772,down
2015-04-14,0.97275,0.97686,0.9694,0.97274,down
2015-04-15,0.96497,0.97071,0.9581,0.9648,down
2015-04-16,0.9565,0.95816,0.94944,0.95646,down
2015-04-19,0.9516,0.95979,0.9499,0.9514,up
2015-04-20,0.9554,0.96208,0.9523,0.9553,down
2015-04-21,0.955,0.96885,0.95047,0.9546,up
2015-04-22,0.96976,0.97172,0.95432,0.9694,down
2015-04-23,0.9557,0.95724,0.951,0.9553,down
2015-04-26,0.9534,0.95826,0.94967,0.95344,up
2015-04-27,0.9552,0.95976,0.9507,0.95521,up
2015-04-28,0.95602,0.95706,0.93589,0.95629,down
2015-04-29,0.9403,0.94436,0.93289,0.9403,down
2015-04-30,0.9336,0.93498,0.9277,0.9332,down
2015-05-03,0.9332,0.93823,0.9313,0.9333,up
2015-05-04,0.9337,0.941,0.9247,0.93366,down
2015-05-05,0.9272,0.9278,0.91173,0.92719,down
2015-05-06,0.91653,0.92087,0.9072,0.91655,up
2015-05-07,0.9216,0.92938,0.92029,0.9217,up
2015-05-10,0.93173,0.93506,0.9297,0.93152,up
2015-05-11,0.93454,0.93561,0.9212,0.9345,down
2015-05-12,0.92856,0.9292,0.9155,0.92832,down
2015-05-13,0.9169,0.9176,0.9079,0.917,down
2015-05-14,0.9125,0.9253,0.91154,0.9126,up
2015-05-17,0.9154,0.92311,0.9153,0.9153,up
2015-05-18,0.926,0.93827,0.9246,0.926,up
2015-05-19,0.93722,0.94046,0.93523,0.9371,down
2015-05-20,0.936,0.93802,0.93075,0.9361,up
2015-05-21,0.93735,0.94537,0.92895,0.93696,up
2015-05-24,0.9433,0.9449,0.9404,0.9433,up
2015-05-25,0.94568,0.95181,0.9455,0.9455,up
2015-05-26,0.95176,0.95411,0.94672,0.9517,down
2015-05-27,0.94979,0.95115,0.9451,0.94979,down
2015-05-28,0.94282,0.9476,0.93477,0.943,down
2015-05-31,0.9414,0.94823,0.9405,0.9413,up
2015-06-01,0.94599,0.94599,0.93117,0.946,down
2015-06-02,0.93355,0.9419,0.93047,0.93341,up
2015-06-03,0.9343,0.9369,0.9277,0.93454,up
2015-06-04,0.9347,0.9498,0.93019,0.9346,up
2015-06-07,0.9405,0.94265,0.93135,0.94026,down
2015-06-08,0.9274,0.93281,0.92476,0.9274,up
2015-06-09,0.9302,0.93206,0.9234,0.93002,up
2015-06-10,0.93226,0.9404,0.9301,0.93213,up
2015-06-11,0.9338,0.9386,0.92482,0.9339,down
2015-06-14,0.9298,0.93807,0.9291,0.9298,down
2015-06-15,0.9298,0.9333,0.9271,0.92984,up
2015-06-16,0.9317,0.93211,0.9232,0.9317,down
2015-06-17,0.921,0.92204,0.9151,0.9209,up
2015-06-18,0.9212,0.92485,0.9202,0.9213,down
