date,open,high,low,close,movement
2014-12-31,119.673,119.673,119.673,119.673,up
2015-01-01,119.89,120.736,119.836,119.87,up
2015-01-04,120.389,120.608,119.411,120.434,down
2015-01-05,119.416,119.497,118.68,119.425,down
2015-01-06,118.674,119.639,118.674,118.673,up
2015-01-07,119.316,119.941,119.19,119.289,up
2015-01-08,119.764,119.843,118.779,119.792,down
2015-01-11,118.223,119.291,118.109,118.212,up
2015-01-12,118.285,118.838,117.741,118.328,down
2015-01-13,117.78,117.913,116.096,117.795,down
2015-01-14,117.439,117.934,116.299,117.39,down
2015-01-15,116.112,117.73,115.865,116.13,up
2015-01-18,117.528,117.664,116.935,117.56,up
2015-01-19,117.74,118.754,117.701,117.712,up
2015-01-20,118.628,118.747,117.194,118.649,down
2015-01-21,117.84,118.33,117.277,117.86,up
2015-01-22,118.71,118.71,117.55,118.751,down
2015-01-25,117.38,118.479,117.38,117.361,up
2015-01-26,118.508,118.651,117.34,118.52,down
2015-01-27,117.818,118.243,117.566,117.775,down
2015-01-28,117.628,118.155,117.568,117.592,up
2015-01-29,118.248,118.273,117.404,118.248,down
2015-02-01,117.185,117.859,117.168,117.184,up
2015-02-02,117.602,117.72,116.896,117.575,up
2015-02-03,117.676,117.983,117.26,117.646,down
2015-02-04,117.314,117.542,117.033,117.288,up
2015-02-05,117.52,119.132,117.18,117.535,up
2015-02-08,118.957,119.033,118.446,118.97,down
2015-02-09,118.614,119.588,118.398,118.563,up
2015-02-10,119.348,120.402,119.286,119.358,up
2015-02-11,120.193,120.369,118.895,120.17,down
2015-02-12,118.881,119.184,118.438,118.916,down
2015-02-15,118.625,118.764,118.383,118.57,down
2015-02-16,118.506,119.103,118.244,118.492,up
2015-02-17,119.183,119.393,118.915,119.208,down
2015-02-18,118.724,119.155,118.482,118.689,up
2015-02-19,119.003,119.075,118.307,118.988,up
2015-02-22,119.074,119.34,118.817,119.076,down
2015-02-23,118.9,119.833,118.87,118.903,down
2015-02-24,118.845,119.04,118.62,118.892,down
2015-02-25,118.828,119.382,118.676,118.822,up
2015-02-26,119.404,119.541,119.127,119.377,up
2015-03-01,119.845,120.133,119.671,119.826,up
2015-03-02,120.198,120.198,119.416,120.204,down
2015-03-03,119.605,119.81,119.478,119.637,up
2015-03-04,119.638,120.377,119.62,119.651,up
2015-03-05,120.066,121.267,119.898,120.045,up
2015-03-08,120.71,121.249,120.606,120.739,up
2015-03-09,121.427,121.996,120.96,121.408,down
2015-03-10,121.06,121.61,121.026,121.038,up
2015-03-11,121.445,121.653,120.723,121.411,down
2015-03-12,121.302,121.555,121.167,121.318,up
2015-03-15,121.33,121.41,121.08,121.343,up
2015-03-16,121.373,121.507,121.145,121.367,down
2015-03-17,121.289,121.398,120.78,121.28,down
2015-03-18,120.079,120.972,119.698,120.064,up
2015-03-19,120.74,121.179,120.258,120.762,down
2015-03-22,120.013,120.149,119.599,120.027,down
2015-03-23,119.741,119.981,119.25,119.75,up
2015-03-24,119.77,119.812,119.248,119.791,down
2015-03-25,119.506,119.508,118.33,119.518,down
2015-03-26,119.214,119.482,118.938,119.183,up
2015-03-29,119.24,120.132,119.122,119.25,up
2015-03-30,120.029,120.33,119.797,120.013,down
2015-03-31,119.952,120.3,119.417,120.022,down
2015-04-01,119.576,119.858,119.448,119.574,up
2015-04-02,119.696,119.753,118.723,119.697,down
2015-04-05,118.854,119.163,118.832,118.823,up
2015-04-06,119.488,120.443,119.449,119.477,up
2015-04-07,120.28,120.306,119.66,120.29,down
2015-04-08,120.09,120.396,119.855,120.094,up
2015-04-09,120.55,120.616,120.066,120.55,down
2015-04-12,120.191,120.833,119.832,120.209,down
2015-04-13,120.058,120.061,119.068,120.059,down
2015-04-14,119.46,119.732,119.145,119.457,down
2015-04-15,119.141,119.459,118.79,119.143,down
2015-04-16,119.054,119.235,118.56,119.044,down
2015-04-19,118.834,119.351,118.547,118.818,up
2015-04-20,119.227,119.824,119.227,119.195,up
2015-04-21,119.641,119.938,119.35,119.633,up
2015-04-22,119.964,120.078,119.601,119.95,down
2015-04-23,119.58,119.62,118.892,119.571,down
2015-04-26,118.915,119.431,118.775,118.927,up
2015-04-27,119.132,119.183,118.78,119.126,down
2015-04-28,118.83,119.355,118.77,118.823,up
2015-04-29,118.976,119.875,118.507,118.97,up
2015-04-30,119.492,120.269,119.492,119.452,up
2015-05-03,120.132,120.271,119.998,120.136,down
2015-05-04,120.107,120.496,119.736,120.1,down
2015-05-05,119.93,120.039,119.238,119.922,down
2015-05-06,119.388,119.783,119.059,119.397,up
2015-05-07,119.716,120.219,119.626,119.709,up
2015-05-10,119.827,120.077,119.712,119.78,up
2015-05-11,120.118,120.27,119.795,120.131,down
2015-05-12,119.875,119.952,119.02,119.835,down
2015-05-13,119.196,119.326,118.89,119.16,up
2015-05-14,119.206,119.921,119.17,119.191,up
2015-05-17,119.353,119.883,119.344,119.33,up
2015-05-18,119.923,120.711,119.85,119.9,up
2015-05-19,120.662,121.376,120.662,120.652,up
2015-05-20,121.198,121.245,120.851,121.212,down
2015-05-21,121.046,121.558,120.644,121.039,up
2015-05-24,121.56,121.763,121.44,121.571,up
2015-05-25,121.644,123.311,121.644,121.6,up
